120101,Patrick,Lu,M,163040,Director,AU,18AUG1980,01JUL2007                      
120104,Kareen,Billington,F,46230,Administration Manager,au,11MAY1958,01JAN1985  
120105,Liz,Povey,F,27110,Secretary I,AU,21DEC1978,01MAY2003                     
120106,John,Hornsey,M,unknown,Office Assistant II,AU,23DEC1948,01JAN1978        
120107,Sherie,Sheedy,F,30475,Office Assistant III,AU,01FEB1982,21JAN1957        
120108,Gladys,Gromek,F,27660,Warehouse Assistant II,AU,23FEB1988,01AUG2010      
120108,Gabriele,Baker,F,26495,Warehouse Assistant I,AU,15DEC1990,01OCT2010      
120110,Dennis,Entwisle,M,28615,Warehouse Assistant III,AU,20NOV1953,01NOV1983   
120111,Ubaldo,Spillane,M,26895,Security Guard II,AU,23JUL1953,99NOV1978         
120112,Ellis,Glattback,F,26550, ,AU,17FEB1973,01JUL1994                         
120113,Riu,Horsey,F,26870,Security Guard II,AU,10MAY1948,01JAN1978              
120114,Jeannette,Buddery,G,31285,Security Manager,AU,08FEB1948,01JAN1978        
120115,Hugh,Nichollas,M,2650,Service Assistant I,AU,08MAY1988,01AUG2009         
.,Austen,Ralston,M,29250,Service Assistant II,AU,13JUN1963,01FEB1984            
120117,Bill,Mccleary,M,31670,Cabinet Maker III,AU,11SEP1968,01APR1990           
120118,Darshi,Hartshorn,M,28090,Cabinet Maker II,AU,03JUN1963,01JUL1988         
120119,Lal,Elleman,M,30255,Electrician IV,AU,21DEC1973,01JAN2002                
120120,Krishna,Peiris,F,27645,Electrician II,AU,05MAY1948,01JAN1978             
120190,Ivor,Czernezkyi,M,24100,Trainee,AU,05DEC1988,01NOV2008                   
120191,Jannene,Graham-Rowe,F,2401,Trainee,AU,17JAN1963,01JAN2007                
120192,Anthony,Nichollas,M,26185,Trainee,AU,08MAY1988,01JUN2009                 
120193,Russell,Streit,M,24515,Trainee,AU,06DEC1988,01SEP2009                    
120194,Reece,Harwood,M,25985,Trainee,AU,23SEP1988,01FEB2009                     
120195,Jina,Fiocca,F,24990,Trainee,AU,25DEC1988,01JUL2010                       
120196,Merle,Hieds,F,24025,Trainee,AU,31JAN1988,01JAN2007                       
120197,Kerrin,Dillin,F,25580,Trainee,AU,08AUG1958,01JAN2007                     
120259,Anthony,Miller,M,433800,Chief Executive Officer,US,25JAN1968,01SEP1993   
120260,Christine,Fletcher,F,207885,Chief Marketing Officer,US,02DEC1968,01NOV1988                                                                               
120262,Max,Crown,M,268455,Chief Financial Officer,US,21OCT1973,01SEP1992                                                                                        
120263,Bobby,Cleverley,M,42605,Financial Analyst III,US,10FEB1968,01OCT1987                                                                                     
120264,Latonya,Croome,F,37510,Financial Analyst II,US,23JAN1988,01DEC2010                                                                                       
120265,Wanda,Branly,F,51950,Auditor III,US,04OCT1948,01JAN1978                                                                                                  
120266,Bao,Krafve,F,31750,Secretary IV,US,01JUL1973,01APR1993                                                                                                   
120267,Belanda,Rink,F,28585,Secretary III,US,02JUN1990,01FEB2007                                                                                                
120268,Jacques,Villeneuve,M,76105,Senior Strategist,US,01SEP1978,01MAY2001                                                                                      
120269,Shrimatee,Kagolanu,F,52540,Strategist II,US,27SEP1948,01JAN1978                                                                                          
120270,Grezegorz,Nuss,M,48435,Concession Director,US,25MAR1958,01JAN1978                                                                                        
120271,Kenisha,Winge,F,43635,Concession Manager,US,06AUG1968,01SEP1990                                                                                          
120272,Febin,Flow,M,34390,Concession Consultant II,US,15MAR1948,01JAN1978                                                                                       
120273,Doris,Antonini,F,28455,Concession Assistant III,US,07JUN1990,01MAR2010                                                                                   
120274,Angela,Landry,F,26840,Concession Assistant I,US,09JAN1968,01DEC1997                                                                                      
120275,Brandy,Lattimer,F,32195,Concession Consultant II,US,27DEC1963,01OCT1988                                                                                  
120276,Nicholas,Plybon,M,28090,Concession Assistant II,US,16DEC1948,01JAN1978                                                                                   
120277,Wesley,Shirts,F,32645,Concession Consultant I,US,16AUG1992,01MAY2008                                                                                     
120278,Binit,Jongleux,M,27685,Concession Assistant III,US,17DEC1990,01AUG2010                                                                                   
120279,Kareema,Dunlap,F,32925,Concession Consultant I,US,20OCT1973,01MAY2000                                                                                    
120280,Jaime,Laurer,F,36930,Concession Consultant III,US,11NOV1968,01MAY1992                                                                                    
120656,Salley,Amos,F,42570,Logistics Coordinator II,US,28JAN1978,01MAR2003                                                                                      
120657,Theresa,Weisbarth,F,36110,Logistics Coordinator I,US,07JAN1968,01NOV1994                                                                                 
120658,Kenneth,Kennedy,M,42485,Logistics Coordinator II,US,20DEC1958,01FEB1985                                                                                  
120659,Jay,Havasy,M,161290,Director,US,16JUL1953,01JAN1978                                                                                                      
120660,Robert,Smith,M,61125,Logistics Manager,US,06JUN1982,01MAR2009                                                                                            
120661,Cynthia,Racine,F,85495,Senior Logistics Manager,US,27NOV1958,01JAN1988                                                                                   
120662,Lemonica,Burroughs,M,27045,Secretary II,US,25JUN1992,01NOV2010                                                                                           
120663,Anglar,Kornblith,F,56385,Pricing Manager,US,26MAR1973,01MAR2001                                                                                          
120664,Brock,Senchak,M,47605,Pricing Specialist,US,18FEB1958,01MAY1979                                                                                          
