120102,Tom,Zhou,M,108255,Sales Manager,AU,11AUG1973,06/01/1993                  
120103,Wilson,Dawes,M,87975,Sales Manager,AU,22JAN1953,01/01/1978               
120121,Irenie,Elvish,F,26600,Sales Rep. II,AU,02AUG1948,01/01/1978              
120122,Christina,Ngan,F,27475,Sales Rep. II,AU,27JUL1958,07/01/1982             
120123,Kimiko,Hotstone,F,26190,Sales Rep. I,AU,28SEP1968,10/01/1989             
120124,Lucian,Daymond,M,26480,Sales Rep. I,AU,13MAY1963,03/01/1983              
120125,Fong,Hofmeister,M,32040,Sales Rep. IV,AU,06DEC1958,03/01/1983            
120126,Satyakam,Denny,M,26780,Sales Rep. II,AU,20SEP1992,08/01/2010             
120127,Sharryn,Clarkson,F,28100,Sales Rep. II,AU,04JAN1983,11/01/2002           
120128,Monica,Kletschkus,F,30890,Sales Rep. IV,AU,14JUL1990,11/01/2010          
120129,Alvin,Roebuck,M,30070,Sales Rep. III,AU,22NOV1968,10/01/1989             
120130,Kevin,Lyon,M,26955,Sales Rep. I,AU,14DEC1988,05/01/2010                  
120131,Marinus,Surawski,M,26910,Sales Rep. I,AU,25SEP1983,01/01/2007            
120132,Fancine,Kaiser,F,28525,Sales Rep. III,AU,05APR1953,10/01/1982            
120133,Petrea,Soltau,F,27440,Sales Rep. II,AU,22APR1990,10/01/2010              
120134,Sian,Shannan,M,28015,Sales Rep. II,AU,06JUN1953,01/01/1978               
120135,Alexei,Platts,M,32490,Sales Rep. IV,AU,26JAN1973,10/01/2001              
120136,Atul,Leyden,M,26605,Sales Rep. I,AU,16SEP1983,02/01/2007                 
120137,Marina,Iyengar,F,29715,Sales Rep. III,AU,12MAR1983,03/01/2010            
120138,Shani,Duckett,F,25795,Sales Rep. I,AU,11JUL1983,07/01/2010               
120139,Fang,Wilson,F,26810,Sales Rep. II,AU,18AUG1990,09/01/2010                
120140,Michael,Minas,M,26970,Sales Rep. I,AU,03AUG1992,10/01/2010               
